,item,condition,sentence,target,alternative,model correct,target score,alternative score
0,Franck_0_SSS,SSS,The advertisement from the office of the real estate agent,is,are,1,-3.425309181213379,-6.655189514160156
1,Franck_0_SSP,SSP,The advertisement from the office of the real estate agents,is,are,1,-3.7125701904296875,-5.535229682922363
2,Franck_0_SPS,SPS,The advertisement from the offices of the real estate agent,is,are,1,-3.8427467346191406,-6.175714492797852
3,Franck_0_SPP,SPP,The advertisement from the offices of the real estate agents,is,are,1,-3.8328895568847656,-4.8820343017578125
4,Franck_0_PSS,PSS,The advertisements from the office of the real estate agent,are,is,1,-3.35158634185791,-6.91245174407959
5,Franck_0_PSP,PSP,The advertisements from the office of the real estate agents,are,is,1,-2.539921760559082,-7.937428951263428
6,Franck_0_PPS,PPS,The advertisements from the offices of the real estate agent,are,is,1,-4.0518693923950195,-7.538883209228516
7,Franck_0_PPP,PPP,The advertisements from the offices of the real estate agents,are,is,1,-2.5722742080688477,-7.904239654541016
8,Franck_1_SSS,SSS,The announcement by the director of the foundation,is,are,1,-2.461991310119629,-7.2957763671875
9,Franck_1_SSP,SSP,The announcement by the director of the foundations,is,are,1,-2.7845916748046875,-5.469858169555664
10,Franck_1_SPS,SPS,The announcement by the directors of the foundation,is,are,1,-2.4371337890625,-6.514413833618164
11,Franck_1_SPP,SPP,The announcement by the directors of the foundations,is,are,1,-2.7614097595214844,-5.497489929199219
12,Franck_1_PSS,PSS,The announcements by the director of the foundation,are,is,1,-1.736311912536621,-5.930830001831055
13,Franck_1_PSP,PSP,The announcements by the director of the foundations,are,is,1,-1.7346267700195312,-6.530616760253906
14,Franck_1_PPS,PPS,The announcements by the directors of the foundation,are,is,1,-1.8103923797607422,-6.08646297454834
15,Franck_1_PPP,PPP,The announcements by the directors of the foundations,are,is,1,-1.8961772918701172,-6.564763069152832
16,Franck_2_SSS,SSS,The article by the writer for the magazine,is,are,1,-3.0766468048095703,-8.161569595336914
17,Franck_2_SSP,SSP,The article by the writer for the magazines,is,are,1,-3.652764320373535,-6.754833221435547
18,Franck_2_SPS,SPS,The article by the writers for the magazine,is,are,1,-2.7767763137817383,-6.870673179626465
19,Franck_2_SPP,SPP,The article by the writers for the magazines,is,are,1,-3.4347991943359375,-5.869300842285156
20,Franck_2_PSS,PSS,The articles by the writer for the magazine,are,is,1,-2.724536895751953,-5.482419967651367
21,Franck_2_PSP,PSP,The articles by the writer for the magazines,are,is,1,-2.6771411895751953,-6.422636032104492
22,Franck_2_PPS,PPS,The articles by the writers for the magazine,are,is,1,-2.6840343475341797,-5.450582504272461
23,Franck_2_PPP,PPP,The articles by the writers for the magazines,are,is,1,-2.679398536682129,-6.588866233825684
24,Franck_3_SSS,SSS,The author of the speech about the city,is,are,1,-2.6474084854125977,-7.114952087402344
25,Franck_3_SSP,SSP,The author of the speech about the cities,is,are,1,-3.5096664428710938,-6.183012008666992
26,Franck_3_SPS,SPS,The author of the speeches about the city,is,are,1,-2.5824460983276367,-6.370001792907715
27,Franck_3_SPP,SPP,The author of the speeches about the cities,is,are,1,-3.5441761016845703,-5.640259742736816
28,Franck_3_PSS,PSS,The authors of the speech about the city,are,is,1,-2.997084617614746,-5.567344665527344
29,Franck_3_PSP,PSP,The authors of the speech about the cities,are,is,1,-3.382028579711914,-6.541632652282715
30,Franck_3_PPS,PPS,The authors of the speeches about the city,are,is,1,-2.897737503051758,-5.7688798904418945
31,Franck_3_PPP,PPP,The authors of the speeches about the cities,are,is,1,-3.2045059204101562,-6.797450065612793
32,Franck_4_SSS,SSS,The computer with the program for the experiment,is,are,1,-2.6143808364868164,-6.114707946777344
33,Franck_4_SSP,SSP,The computer with the program for the experiments,is,are,1,-4.026568412780762,-5.054250717163086
34,Franck_4_SPS,SPS,The computer with the programs for the experiment,is,are,1,-2.5371084213256836,-4.951242446899414
35,Franck_4_SPP,SPP,The computer with the programs for the experiments,is,are,1,-4.032845497131348,-4.593575477600098
36,Franck_4_PSS,PSS,The computers with the program for the experiment,are,is,1,-2.477243423461914,-5.034845352172852
37,Franck_4_PSP,PSP,The computers with the program for the experiments,are,is,1,-2.6846580505371094,-6.589902877807617
38,Franck_4_PPS,PPS,The computers with the programs for the experiment,are,is,1,-2.2949256896972656,-5.197542190551758
39,Franck_4_PPP,PPP,The computers with the programs for the experiments,are,is,1,-2.6445751190185547,-6.875941276550293
40,Franck_5_SSS,SSS,The contract for the actor in the film,is,are,1,-2.349724769592285,-7.144543647766113
41,Franck_5_SSP,SSP,The contract for the actor in the films,is,are,1,-2.5347509384155273,-5.548892021179199
42,Franck_5_SPS,SPS,The contract for the actors in the film,is,are,1,-2.278146743774414,-6.167757987976074
43,Franck_5_SPP,SPP,The contract for the actors in the films,is,are,1,-2.511384963989258,-5.270556449890137
44,Franck_5_PSS,PSS,The contracts for the actor in the film,are,is,1,-1.9284744262695312,-5.554669380187988
45,Franck_5_PSP,PSP,The contracts for the actor in the films,are,is,1,-1.8867130279541016,-5.757297515869141
46,Franck_5_PPS,PPS,The contracts for the actors in the film,are,is,1,-1.959737777709961,-5.773963928222656
47,Franck_5_PPP,PPP,The contracts for the actors in the films,are,is,1,-1.9796409606933594,-5.795259475708008
48,Franck_6_SSS,SSS,The dog on the path around the lake,is,are,1,-1.7888212203979492,-5.6111907958984375
49,Franck_6_SSP,SSP,The dog on the path around the lakes,is,are,1,-1.8820981979370117,-4.734155654907227
50,Franck_6_SPS,SPS,The dog on the paths around the lake,is,are,1,-2.1998300552368164,-4.316445350646973
51,Franck_6_SPP,SPP,The dog on the paths around the lakes,is,are,1,-2.208846092224121,-3.8506574630737305
52,Franck_6_PSS,PSS,The dogs on the path around the lake,are,is,1,-2.0798110961914062,-4.801247596740723
53,Franck_6_PSP,PSP,The dogs on the path around the lakes,are,is,1,-2.015395164489746,-4.597174644470215
54,Franck_6_PPS,PPS,The dogs on the paths around the lake,are,is,1,-1.8477592468261719,-5.633702278137207
55,Franck_6_PPP,PPP,The dogs on the paths around the lakes,are,is,1,-1.8513031005859375,-4.994298934936523
56,Franck_7_SSS,SSS,The friend of the editor of the magazine,is,are,1,-4.152355194091797,-9.771594047546387
57,Franck_7_SSP,SSP,The friend of the editor of the magazines,is,are,1,-4.385388374328613,-7.771974563598633
58,Franck_7_SPS,SPS,The friend of the editors of the magazine,is,are,1,-4.0947265625,-8.227869987487793
59,Franck_7_SPP,SPP,The friend of the editors of the magazines,is,are,1,-4.343446731567383,-7.048918724060059
60,Franck_7_PSS,PSS,The friends of the editor of the magazine,are,is,1,-3.3507137298583984,-5.547061920166016
61,Franck_7_PSP,PSP,The friends of the editor of the magazines,are,is,1,-2.717418670654297,-6.213202476501465
62,Franck_7_PPS,PPS,The friends of the editors of the magazine,are,is,1,-2.963367462158203,-5.879767417907715
63,Franck_7_PPP,PPP,The friends of the editors of the magazines,are,is,1,-2.747222900390625,-6.623783111572266
64,Franck_8_SSS,SSS,The gift for the daughter of the visitor,is,are,1,-2.3177318572998047,-4.967679977416992
65,Franck_8_SSP,SSP,The gift for the daughter of the visitors,is,are,1,-2.881868362426758,-4.633672714233398
66,Franck_8_SPS,SPS,The gift for the daughters of the visitor,is,are,1,-2.330622673034668,-4.500637054443359
67,Franck_8_SPP,SPP,The gift for the daughters of the visitors,is,are,1,-2.6672849655151367,-4.243865966796875
68,Franck_8_PSS,PSS,The gifts for the daughter of the visitor,are,is,1,-1.5414457321166992,-5.317928314208984
69,Franck_8_PSP,PSP,The gifts for the daughter of the visitors,are,is,1,-1.5071239471435547,-5.8632917404174805
70,Franck_8_PPS,PPS,The gifts for the daughters of the visitor,are,is,1,-1.6603069305419922,-5.365102767944336
71,Franck_8_PPP,PPP,The gifts for the daughters of the visitors,are,is,1,-1.5803489685058594,-5.699348449707031
72,Franck_9_SSS,SSS,The helicopter for the flight over the canyon,is,are,1,-2.0804643630981445,-6.204313278198242
73,Franck_9_SSP,SSP,The helicopter for the flight over the canyons,is,are,1,-2.7798891067504883,-4.933809280395508
74,Franck_9_SPS,SPS,The helicopter for the flights over the canyon,is,are,1,-1.8901252746582031,-5.188282012939453
75,Franck_9_SPP,SPP,The helicopter for the flights over the canyons,is,are,1,-2.610325813293457,-3.977510452270508
76,Franck_9_PSS,PSS,The helicopters for the flight over the canyon,are,is,1,-2.2850875854492188,-4.361364364624023
77,Franck_9_PSP,PSP,The helicopters for the flight over the canyons,are,is,1,-2.427859306335449,-4.692730903625488
78,Franck_9_PPS,PPS,The helicopters for the flights over the canyon,are,is,1,-2.0693511962890625,-4.331024169921875
79,Franck_9_PPP,PPP,The helicopters for the flights over the canyons,are,is,1,-2.1972084045410156,-4.729924201965332
80,Franck_10_SSS,SSS,The lesson about the government of the country,is,are,1,-1.8616714477539062,-7.570524215698242
81,Franck_10_SSP,SSP,The lesson about the government of the countries,is,are,1,-2.9541568756103516,-5.992595672607422
82,Franck_10_SPS,SPS,The lesson about the governments of the country,is,are,1,-1.8214635848999023,-5.605524063110352
83,Franck_10_SPP,SPP,The lesson about the governments of the countries,is,are,1,-3.0114049911499023,-5.320206642150879
84,Franck_10_PSS,PSS,The lessons about the government of the country,are,is,1,-1.5912551879882812,-4.4324541091918945
85,Franck_10_PSP,PSP,The lessons about the government of the countries,are,is,1,-2.807896614074707,-5.311650276184082
86,Franck_10_PPS,PPS,The lessons about the governments of the country,are,is,1,-1.7918529510498047,-4.604393005371094
87,Franck_10_PPP,PPP,The lessons about the governments of the countries,are,is,1,-3.2098312377929688,-5.56517219543457
88,Franck_11_SSS,SSS,The letter from the friend of my cousin,is,are,1,-4.430872917175293,-8.547950744628906
89,Franck_11_SSP,SSP,The letter from the friend of my cousins,is,are,1,-3.872224807739258,-6.879640579223633
90,Franck_11_SPS,SPS,The letter from the friends of my cousin,is,are,1,-3.847853660583496,-7.240403175354004
91,Franck_11_SPP,SPP,The letter from the friends of my cousins,is,are,1,-3.053713798522949,-5.1851043701171875
92,Franck_11_PSS,PSS,The letters from the friend of my cousin,are,is,1,-4.470456123352051,-7.393685340881348
93,Franck_11_PSP,PSP,The letters from the friend of my cousins,are,is,1,-2.6494293212890625,-7.407535552978516
94,Franck_11_PPS,PPS,The letters from the friends of my cousin,are,is,1,-4.0323991775512695,-7.088831901550293
95,Franck_11_PPP,PPP,The letters from the friends of my cousins,are,is,1,-2.149629592895508,-6.91680908203125
96,Franck_12_SSS,SSS,The manual by the developer of the machine,is,are,1,-2.4791297912597656,-5.807833671569824
97,Franck_12_SSP,SSP,The manual by the developer of the machines,is,are,1,-2.917111396789551,-4.928987503051758
98,Franck_12_SPS,SPS,The manual by the developers of the machine,is,are,1,-2.768566131591797,-5.577733039855957
99,Franck_12_SPP,SPP,The manual by the developers of the machines,is,are,1,-3.237253189086914,-5.228514671325684
100,Franck_12_PSS,PSS,The manuals by the developer of the machine,are,is,1,-2.1193180084228516,-4.7473249435424805
101,Franck_12_PSP,PSP,The manuals by the developer of the machines,are,is,1,-1.8634300231933594,-5.4609222412109375
102,Franck_12_PPS,PPS,The manuals by the developers of the machine,are,is,1,-2.1392879486083984,-4.907966613769531
103,Franck_12_PPP,PPP,The manuals by the developers of the machines,are,is,1,-1.9583587646484375,-5.521675109863281
104,Franck_13_SSS,SSS,The mast on the deck of the yacht,is,are,1,-2.2768068313598633,-7.097535133361816
105,Franck_13_SSP,SSP,The mast on the deck of the yachts,is,are,1,-2.5774192810058594,-4.577892303466797
106,Franck_13_SPS,SPS,The mast on the decks of the yacht,is,are,1,-2.099538803100586,-4.978458404541016
107,Franck_13_SPP,SPP,The mast on the decks of the yachts,is,are,1,-2.534682273864746,-3.835399627685547
108,Franck_13_PSS,PSS,The masts on the deck of the yacht,are,is,1,-1.9374980926513672,-5.163064002990723
109,Franck_13_PSP,PSP,The masts on the deck of the yachts,are,is,1,-1.649561882019043,-5.753379821777344
110,Franck_13_PPS,PPS,The masts on the decks of the yacht,are,is,1,-2.1168394088745117,-5.203912734985352
111,Franck_13_PPP,PPP,The masts on the decks of the yachts,are,is,1,-1.767655372619629,-5.50156307220459
112,Franck_14_SSS,SSS,The meal for the guest of the inn-keeper,is,are,1,-2.9668941497802734,-4.110334396362305
113,Franck_14_SSP,SSP,The meal for the guest of the inn-keepers,is,are,1,-2.9668941497802734,-4.110334396362305
114,Franck_14_SPS,SPS,The meal for the guests of the inn-keeper,is,are,1,-2.893588066101074,-4.566001892089844
115,Franck_14_SPP,SPP,The meal for the guests of the inn-keepers,is,are,1,-2.893588066101074,-4.566001892089844
116,Franck_14_PSS,PSS,The meals for the guest of the inn-keeper,are,is,1,-2.6335983276367188,-5.828542709350586
117,Franck_14_PSP,PSP,The meals for the guest of the inn-keepers,are,is,1,-2.6335983276367188,-5.828542709350586
118,Franck_14_PPS,PPS,The meals for the guests of the inn-keeper,are,is,1,-2.9853105545043945,-5.8839616775512695
119,Franck_14_PPP,PPP,The meals for the guests of the inn-keepers,are,is,1,-2.9853105545043945,-5.8839616775512695
120,Franck_15_SSS,SSS,The museum with the picture of the poet,is,are,1,-3.0791730880737305,-7.354477405548096
121,Franck_15_SSP,SSP,The museum with the picture of the poets,is,are,1,-3.494138717651367,-5.49271297454834
122,Franck_15_SPS,SPS,The museum with the pictures of the poet,is,are,1,-4.47764778137207,-7.143743515014648
123,Franck_15_SPP,SPP,The museum with the pictures of the poets,is,are,1,-4.599069595336914,-5.3226470947265625
124,Franck_15_PSS,PSS,The museums with the picture of the poet,are,is,1,-2.7604408264160156,-5.407975196838379
125,Franck_15_PSP,PSP,The museums with the picture of the poets,are,is,1,-2.5269174575805664,-5.766430854797363
126,Franck_15_PPS,PPS,The museums with the pictures of the poet,are,is,1,-3.663661003112793,-6.13438606262207
127,Franck_15_PPP,PPP,The museums with the pictures of the poets,are,is,1,-2.770939826965332,-6.450031280517578
128,Franck_16_SSS,SSS,The new design for the engine of the plane,is,are,1,-3.631556510925293,-7.114951133728027
129,Franck_16_SSP,SSP,The new design for the engine of the planes,is,are,1,-3.966327667236328,-5.69124698638916
130,Franck_16_SPS,SPS,The new design for thes engine of the plane,is,are,1,-3.4451637268066406,-6.3374786376953125
131,Franck_16_SPP,SPP,The new design for thes engine of the planes,is,are,1,-3.8954410552978516,-5.186594009399414
132,Franck_16_PSS,PSS,The news design for the engine of the plane,are,is,0,-6.868339538574219,-3.3231449127197266
133,Franck_16_PSP,PSP,The news design for the engine of the planes,are,is,0,-5.580827713012695,-3.668367385864258
134,Franck_16_PPS,PPS,The news design for thes engine of the plane,are,is,0,-6.137138366699219,-3.2149667739868164
135,Franck_16_PPP,PPP,The news design for thes engine of the planes,are,is,0,-5.068778038024902,-3.7469968795776367
136,Franck_17_SSS,SSS,The payment for the service to the school,is,are,1,-1.747788429260254,-5.855154037475586
137,Franck_17_SSP,SSP,The payment for the service to the schools,is,are,1,-2.1931381225585938,-5.01253604888916
138,Franck_17_SPS,SPS,The payment for the services to the school,is,are,1,-1.7393112182617188,-5.492862701416016
139,Franck_17_SPP,SPP,The payment for the services to the schools,is,are,1,-2.0554771423339844,-4.609539031982422
140,Franck_17_PSS,PSS,The payments for the service to the school,are,is,1,-2.1542091369628906,-5.327817916870117
141,Franck_17_PSP,PSP,The payments for the service to the schools,are,is,1,-2.328397750854492,-5.118841171264648
142,Franck_17_PPS,PPS,The payments for the services to the school,are,is,1,-1.8858861923217773,-5.499367713928223
143,Franck_17_PPP,PPP,The payments for the services to the schools,are,is,1,-2.020650863647461,-5.082118988037109
144,Franck_18_SSS,SSS,The photo of the girl with the baby,is,are,1,-2.3678035736083984,-5.955474853515625
145,Franck_18_SSP,SSP,The photo of the girl with the babies,is,are,1,-3.006037712097168,-5.082192420959473
146,Franck_18_SPS,SPS,The photo of the girls with the baby,is,are,1,-2.429915428161621,-4.757045745849609
147,Franck_18_SPP,SPP,The photo of the girls with the babies,is,are,1,-2.8343162536621094,-4.0248260498046875
148,Franck_18_PSS,PSS,The photos of the girl with the baby,are,is,1,-2.4837465286254883,-5.454085350036621
149,Franck_18_PSP,PSP,The photos of the girl with the babies,are,is,1,-2.192922592163086,-6.003021240234375
150,Franck_18_PPS,PPS,The photos of the girls with the baby,are,is,1,-2.420408248901367,-5.729398727416992
151,Franck_18_PPP,PPP,The photos of the girls with the babies,are,is,1,-2.159982681274414,-6.2145795822143555
152,Franck_19_SSS,SSS,The post in the support for the platform,is,are,1,-2.341510772705078,-6.053109169006348
153,Franck_19_SSP,SSP,The post in the support for the platforms,is,are,1,-2.080021858215332,-4.704107284545898
154,Franck_19_SPS,SPS,The post in the supports for the platform,is,are,1,-2.1170310974121094,-4.8074846267700195
155,Franck_19_SPP,SPP,The post in the supports for the platforms,is,are,1,-1.9998130798339844,-3.9574642181396484
156,Franck_19_PSS,PSS,The posts in the support for the platform,are,is,1,-1.7338247299194336,-5.107800483703613
157,Franck_19_PSP,PSP,The posts in the support for the platforms,are,is,1,-1.4422664642333984,-4.995728492736816
158,Franck_19_PPS,PPS,The posts in the supports for the platform,are,is,1,-1.6858081817626953,-5.004384994506836
159,Franck_19_PPP,PPP,The posts in the supports for the platforms,are,is,1,-1.338623046875,-5.080248832702637
160,Franck_20_SSS,SSS,The prescription by the doctor from the clinic,is,are,1,-1.9524555206298828,-6.529918670654297
161,Franck_20_SSP,SSP,The prescription by the doctor from the clinics,is,are,1,-2.489590644836426,-5.111905097961426
162,Franck_20_SPS,SPS,The prescription by the doctors from the clinic,is,are,1,-2.1598520278930664,-5.547999382019043
163,Franck_20_SPP,SPP,The prescription by the doctors from the clinics,is,are,1,-2.642331123352051,-4.747076988220215
164,Franck_20_PSS,PSS,The prescriptions by the doctor from the clinic,are,is,1,-2.21951961517334,-5.008038520812988
165,Franck_20_PSP,PSP,The prescriptions by the doctor from the clinics,are,is,1,-2.618549346923828,-5.841216087341309
166,Franck_20_PPS,PPS,The prescriptions by the doctors from the clinic,are,is,1,-2.0825424194335938,-4.901890754699707
167,Franck_20_PPP,PPP,The prescriptions by the doctors from the clinics,are,is,1,-2.624734878540039,-5.712197303771973
168,Franck_21_SSS,SSS,The producer of the movie about the artist,is,are,1,-3.671393394470215,-7.3705949783325195
169,Franck_21_SSP,SSP,The producer of the movie about the artists,is,are,1,-4.91804313659668,-5.996615409851074
170,Franck_21_SPS,SPS,The producer of the movies about the artist,is,are,1,-3.0034990310668945,-6.26151180267334
171,Franck_21_SPP,SPP,The producer of the movies about the artists,is,are,1,-4.056667327880859,-5.46370792388916
172,Franck_21_PSS,PSS,The producers of the movie about the artist,are,is,1,-3.9700698852539062,-6.075957298278809
173,Franck_21_PSP,PSP,The producers of the movie about the artists,are,is,1,-4.083512306213379,-7.201635837554932
174,Franck_21_PPS,PPS,The producers of the movies about the artist,are,is,1,-3.255857467651367,-6.666167259216309
175,Franck_21_PPP,PPP,The producers of the movies about the artists,are,is,1,-3.5530548095703125,-7.432620048522949
176,Franck_22_SSS,SSS,The publisher of the book about the king,is,are,1,-3.257767677307129,-7.465941429138184
177,Franck_22_SSP,SSP,The publisher of the book about the kings,is,are,1,-4.6086578369140625,-6.262544631958008
178,Franck_22_SPS,SPS,The publisher of the books about the king,is,are,1,-3.0027732849121094,-6.415519714355469
179,Franck_22_SPP,SPP,The publisher of the books about the kings,is,are,1,-4.173801422119141,-5.56962776184082
180,Franck_22_PSS,PSS,The publishers of the book about the king,are,is,1,-3.973893165588379,-5.678005218505859
181,Franck_22_PSP,PSP,The publishers of the book about the kings,are,is,1,-4.254051208496094,-7.380658149719238
182,Franck_22_PPS,PPS,The publishers of the books about the king,are,is,1,-3.4231109619140625,-6.430045127868652
183,Franck_22_PPP,PPP,The publishers of the books about the kings,are,is,1,-3.7036609649658203,-8.034778594970703
184,Franck_23_SSS,SSS,The setting for the movie about the astronomer,is,are,1,-2.816084861755371,-6.740207672119141
185,Franck_23_SSP,SSP,The setting for the movie about the astronomers,is,are,1,-4.224367141723633,-5.205610275268555
186,Franck_23_SPS,SPS,The setting for the movies about the astronomer,is,are,1,-2.4247989654541016,-6.084806442260742
187,Franck_23_SPP,SPP,The setting for the movies about the astronomers,is,are,1,-3.5006284713745117,-4.830787658691406
188,Franck_23_PSS,PSS,The settings for the movie about the astronomer,are,is,1,-3.477785110473633,-5.57914924621582
189,Franck_23_PSP,PSP,The settings for the movie about the astronomers,are,is,1,-3.1821069717407227,-7.277215957641602
190,Franck_23_PPS,PPS,The settings for the movies about the astronomer,are,is,1,-3.124241828918457,-5.744948387145996
191,Franck_23_PPP,PPP,The settings for the movies about the astronomers,are,is,1,-2.626903533935547,-7.109247207641602
192,Franck_24_SSS,SSS,The statue in the garden near the mansion,is,are,1,-1.9229516983032227,-5.743265151977539
193,Franck_24_SSP,SSP,The statue in the garden near the mansions,is,are,1,-3.479659080505371,-4.2011566162109375
194,Franck_24_SPS,SPS,The statue in the gardens near the mansion,is,are,1,-1.8764410018920898,-5.082902908325195
195,Franck_24_SPP,SPP,The statue in the gardens near the mansions,is,are,1,-3.3257827758789062,-3.9782371520996094
196,Franck_24_PSS,PSS,The statues in the garden near the mansion,are,is,1,-1.955108642578125,-4.766949653625488
197,Franck_24_PSP,PSP,The statues in the garden near the mansions,are,is,1,-2.252521514892578,-6.854307174682617
198,Franck_24_PPS,PPS,The statues in the gardens near the mansion,are,is,1,-1.8646564483642578,-4.812965393066406
199,Franck_24_PPP,PPP,The statues in the gardens near the mansions,are,is,1,-2.101181983947754,-6.774514198303223
200,Franck_25_SSS,SSS,The switch for the light on the stairway,is,are,1,-2.2160091400146484,-6.859285354614258
201,Franck_25_SSP,SSP,The switch for the light on the stairways,is,are,1,-2.83731746673584,-5.080217361450195
202,Franck_25_SPS,SPS,The switch for the lights on the stairway,is,are,1,-1.9059486389160156,-6.079092979431152
203,Franck_25_SPP,SPP,The switch for the lights on the stairways,is,are,1,-2.2433691024780273,-4.282304763793945
204,Franck_25_PSS,PSS,The switches for the light on the stairway,are,is,1,-2.5707550048828125,-5.010110855102539
205,Franck_25_PSP,PSP,The switches for the light on the stairways,are,is,1,-1.9361820220947266,-5.586483001708984
206,Franck_25_PPS,PPS,The switches for the lights on the stairway,are,is,1,-2.268939971923828,-4.856235504150391
207,Franck_25_PPP,PPP,The switches for the lights on the stairways,are,is,1,-1.6545677185058594,-5.37579345703125
208,Franck_26_SSS,SSS,The telegram to the friend of the soldier,is,are,1,-4.107027053833008,-8.146869659423828
209,Franck_26_SSP,SSP,The telegram to the friend of the soldiers,is,are,1,-4.366581916809082,-6.8245849609375
210,Franck_26_SPS,SPS,The telegram to the friends of the soldier,is,are,1,-3.4616527557373047,-6.788782119750977
211,Franck_26_SPP,SPP,The telegram to the friends of the soldiers,is,are,1,-3.9944400787353516,-6.073468208312988
212,Franck_26_PSS,PSS,The telegrams to the friend of the soldier,are,is,1,-4.556323051452637,-8.20862865447998
213,Franck_26_PSP,PSP,The telegrams to the friend of the soldiers,are,is,1,-3.6723690032958984,-8.055791854858398
214,Franck_26_PPS,PPS,The telegrams to the friends of the soldier,are,is,1,-3.9047508239746094,-7.561599254608154
215,Franck_26_PPP,PPP,The telegrams to the friends of the soldiers,are,is,1,-3.565667152404785,-7.7641801834106445
216,Franck_27_SSS,SSS,The threat to the president of the company,is,are,1,-2.0359630584716797,-7.020900726318359
217,Franck_27_SSP,SSP,The threat to the president of the companies,is,are,1,-2.189573287963867,-5.339150428771973
218,Franck_27_SPS,SPS,The threat to the presidents of the company,is,are,1,-2.265995979309082,-6.386297225952148
219,Franck_27_SPP,SPP,The threat to the presidents of the companies,is,are,1,-2.7367706298828125,-4.977923393249512
220,Franck_27_PSS,PSS,The threats to the president of the company,are,is,1,-2.2917909622192383,-5.987570762634277
221,Franck_27_PSP,PSP,The threats to the president of the companies,are,is,1,-2.3931074142456055,-5.498577117919922
222,Franck_27_PPS,PPS,The threats to the presidents of the company,are,is,1,-2.3739166259765625,-5.751714706420898
223,Franck_27_PPP,PPP,The threats to the presidents of the companies,are,is,1,-2.7074108123779297,-5.896068572998047
224,Franck_28_SSS,SSS,The tour of the museum near the monument,is,are,1,-2.1786279678344727,-5.091289520263672
225,Franck_28_SSP,SSP,The tour of the museum near the monuments,is,are,1,-2.888813018798828,-3.8897762298583984
226,Franck_28_SPS,SPS,The tour of the museums near the monument,is,are,1,-2.0072879791259766,-4.305124282836914
227,Franck_28_SPP,SPP,The tour of the museums near the monuments,is,are,1,-2.477755546569824,-3.6630306243896484
228,Franck_28_PSS,PSS,The tours of the museum near the monument,are,is,1,-1.820119857788086,-4.481201171875
229,Franck_28_PSP,PSP,The tours of the museum near the monuments,are,is,1,-1.9746932983398438,-4.773046493530273
230,Franck_28_PPS,PPS,The tours of the museums near the monument,are,is,1,-1.7026739120483398,-4.463550567626953
231,Franck_28_PPP,PPP,The tours of the museums near the monuments,are,is,1,-1.91143798828125,-4.488365173339844
232,Franck_29_SSS,SSS,The train to the city on the lake,is,are,1,-1.5357742309570312,-6.585474014282227
233,Franck_29_SSP,SSP,The train to the city on the lakes,is,are,1,-1.8527612686157227,-4.471675872802734
234,Franck_29_SPS,SPS,The train to the cities on the lake,is,are,1,-1.576101303100586,-5.799215316772461
235,Franck_29_SPP,SPP,The train to the cities on the lakes,is,are,1,-1.612997055053711,-4.579174995422363
236,Franck_29_PSS,PSS,The trains to the city on the lake,are,is,1,-2.0041980743408203,-4.692619323730469
237,Franck_29_PSP,PSP,The trains to the city on the lakes,are,is,1,-1.6858224868774414,-5.569662094116211
238,Franck_29_PPS,PPS,The trains to the cities on the lake,are,is,1,-1.9216690063476562,-5.233203887939453
239,Franck_29_PPP,PPP,The trains to the cities on the lakes,are,is,1,-1.7165145874023438,-5.305349349975586
240,Franck_30_SSS,SSS,The truck on the bridge over the stream,is,are,1,-2.165654182434082,-6.32570743560791
241,Franck_30_SSP,SSP,The truck on the bridge over the streams,is,are,1,-2.227113723754883,-5.380527496337891
242,Franck_30_SPS,SPS,The truck on the bridges over the stream,is,are,1,-2.330921173095703,-5.643047332763672
243,Franck_30_SPP,SPP,The truck on the bridges over the streams,is,are,1,-2.307069778442383,-5.113734245300293
244,Franck_30_PSS,PSS,The trucks on the bridge over the stream,are,is,1,-2.623814582824707,-4.591348648071289
245,Franck_30_PSP,PSP,The trucks on the bridge over the streams,are,is,1,-2.444042205810547,-5.084794998168945
246,Franck_30_PPS,PPS,The trucks on the bridges over the stream,are,is,1,-2.566080093383789,-4.7873077392578125
247,Franck_30_PPP,PPP,The trucks on the bridges over the streams,are,is,1,-2.5157604217529297,-5.011360168457031
248,Franck_31_SSS,SSS,The discussion about the topic of the paper,is,are,1,-1.759042739868164,-6.508702278137207
249,Franck_31_SSP,SSP,The discussion about the topic of the papers,is,are,1,-1.974700927734375,-5.070278167724609
250,Franck_31_SPS,SPS,The discussion about the topics of the paper,is,are,1,-2.09552001953125,-4.308356285095215
251,Franck_31_SPP,SPP,The discussion about the topics of the papers,is,are,1,-2.4451723098754883,-3.5716466903686523
252,Franck_31_PSS,PSS,The discussions about the topic of the paper,are,is,1,-1.8398246765136719,-5.728981971740723
253,Franck_31_PSP,PSP,The discussions about the topic of the papers,are,is,1,-1.945998191833496,-5.515359878540039
254,Franck_31_PPS,PPS,The discussions about the topics of the paper,are,is,1,-1.9025917053222656,-6.067224502563477
255,Franck_31_PPP,PPP,The discussions about the topics of the papers,are,is,1,-2.111032485961914,-5.966081619262695
